id,student_id,class_count,amount,receipt_url,receipt_key,payment_date,confirmed_by,status,notes,created_at,updated_at
1,24,120,0.00,NULL,NULL,2025-08-03 00:00:00,admin_approved,confirmed,2023/1/15~2025/8/2 期間已付款（系統補錄，120堂）,2026-02-21 18:55:41,2026-02-21 18:56:18
4,27,156,0.00,NULL,NULL,2022-12-27 00:00:00,admin_approved,confirmed,2022-12-27~目前 期間已付款（系統補錄，156堂）,2026-02-21 19:09:10,2026-02-21 19:09:10
5,28,108,21600.00,NULL,NULL,2023-01-15 00:00:00,admin_approved,confirmed,"2025/8/17為已付款第8堂的循環結束後(#108, 2025/9/21)，之後需付款 (108堂=9×12循環)",2026-02-21 19:09:10,2026-02-22 11:34:04
8,31,84,16800.00,NULL,NULL,2022-12-04 00:00:00,admin_approved,confirmed,2025/8/17為已付款第6堂的循環(#73~#84)，#85起需付款 (84堂=7×12循環),2026-02-21 19:09:10,2026-02-22 11:48:07
9,32,84,16800.00,NULL,NULL,2022-12-04 00:00:00,admin_approved,confirmed,2025/8/17為已付款第6堂的循環(#73~#84)，#85起需付款 (84堂=7×12循環),2026-02-21 19:09:10,2026-02-22 11:48:34
10,35,84,16800.00,NULL,NULL,2022-12-27 00:00:00,admin_approved,confirmed,2024/11/3為已付款第1堂的循環(#73~#84)，#85(2025/2/9)起需付款 (84堂=7×12循環),2026-02-21 19:09:10,2026-02-22 11:49:10
11,13,108,21600.00,NULL,NULL,2023-03-12 00:00:00,admin_approved,confirmed,2025/8/17為已付第9堂循環，#108後需付款 (108堂=9×12循環),2026-02-21 19:09:10,2026-02-22 12:03:10
13,37,48,9600.00,NULL,NULL,2024-03-03 00:00:00,admin_approved,confirmed,2025/5/11為已付第3堂循環，#48後需付款 (48堂=4×12循環),2026-02-21 19:09:10,2026-02-22 12:03:17
14,39,36,7200.00,NULL,NULL,2024-07-07 00:00:00,admin_approved,confirmed,2025/8/3為已付第3堂循環，#36後需付款 (36堂=3×12循環),2026-02-21 19:09:10,2026-02-22 12:03:27
15,40,12,2400.00,NULL,NULL,2024-03-10 00:00:00,admin_approved,confirmed,2024/7/21為需付第1堂，之前12堂已付 (12堂=1×12循環),2026-02-21 19:09:10,2026-02-22 12:03:35
